,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
0,USA,107508405.0,1169785.0,105630830.0,707790.0,695.0,321107.0,3494.0,1181089416.0,3527691.0,334805269.0
1,India,44995434.0,531915.0,44462067.0,1452.0,,31988.0,378.0,930797975.0,661721.0,1406631776.0
2,France,40138560.0,167642.0,39970918.0,0.0,869.0,612013.0,2556.0,271490188.0,4139547.0,65584518.0
3,Germany,38428685.0,174352.0,38240600.0,13733.0,,458119.0,2078.0,122332384.0,1458359.0,83883596.0
4,Brazil,37717062.0,704659.0,36249161.0,763242.0,,175140.0,3272.0,63776166.0,296146.0,215353593.0
5,Japan,33803572.0,74694.0,,,83.0,269169.0,595.0,100414883.0,799578.0,125584838.0
6,S. Korea,32883134.0,35216.0,32380641.0,467277.0,126.0,640623.0,686.0,15804065.0,307892.0,51329899.0
7,Italy,25912481.0,191012.0,25608670.0,112799.0,26.0,429992.0,3170.0,274257844.0,4551033.0,60262770.0
8,UK,24641596.0,228144.0,24412185.0,1267.0,,359742.0,3331.0,522526476.0,7628357.0,68497907.0
9,Russia,22974289.0,399814.0,22424710.0,149765.0,,157568.0,2742.0,273400000.0,1875095.0,145805947.0
10,Turkey,17232066.0,102174.0,,,,201399.0,1194.0,162743369.0,1902052.0,85561976.0
11,Spain,13914811.0,121760.0,13762417.0,30634.0,231.0,297840.0,2606.0,471036328.0,10082298.0,46719142.0
12,Australia,11731399.0,22325.0,11698223.0,10851.0,22.0,450017.0,856.0,81916639.0,3142326.0,26068792.0
13,Vietnam,11621789.0,43206.0,10640322.0,938261.0,,117447.0,437.0,85826548.0,867342.0,98953541.0
14,Taiwan,10241506.0,19005.0,10222498.0,3.0,,428719.0,796.0,30742304.0,1286903.0,23888595.0
15,Argentina,10057945.0,130527.0,9927418.0,0.0,363.0,218602.0,2837.0,35716069.0,776264.0,46010234.0
16,Netherlands,8610372.0,22992.0,8587380.0,0.0,53.0,500270.0,1336.0,25984435.0,1509718.0,17211447.0
17,Mexico,7633355.0,334336.0,6885378.0,413641.0,,58021.0,2541.0,20013810.0,152124.0,131562772.0
18,Iran,7612886.0,146307.0,7372222.0,94357.0,6.0,88498.0,1701.0,56934517.0,661854.0,86022837.0
19,Indonesia,6812670.0,161894.0,6645399.0,5377.0,,24406.0,580.0,114158919.0,408975.0,279134505.0
20,Poland,6518129.0,119635.0,5335940.0,1062554.0,53.0,172712.0,3170.0,38807253.0,1028285.0,37739785.0
21,Colombia,6376239.0,142922.0,6190683.0,42634.0,342.0,123780.0,2774.0,36951507.0,717327.0,51512762.0
22,Greece,6101379.0,37089.0,6064290.0,0.0,115.0,591412.0,3595.0,102228365.0,9909078.0,10316637.0
23,Austria,6081287.0,22542.0,6054934.0,3811.0,14.0,670727.0,2486.0,211273524.0,23302116.0,9066710.0
24,Portugal,5595211.0,26957.0,5566135.0,2119.0,61.0,551765.0,2658.0,46139518.0,4549993.0,10140570.0
25,Ukraine,5557995.0,112418.0,5445577.0,0.0,,128681.0,2603.0,32603805.0,754855.0,43192122.0
26,Chile,5289006.0,64497.0,5224373.0,136.0,13.0,274751.0,3350.0,49892299.0,2591781.0,19250195.0
27,Malaysia,5119647.0,37163.0,5068858.0,13626.0,20.0,154294.0,1120.0,68376501.0,2060708.0,33181072.0
28,Israel,4830733.0,12585.0,4798473.0,19675.0,21.0,517986.0,1349.0,41373364.0,4436346.0,9326000.0
29,Belgium,4802496.0,34376.0,4767348.0,772.0,43.0,411586.0,2946.0,37018657.0,3172590.0,11668278.0
30,DPRK,4772813.0,74.0,4772739.0,0.0,,183636.0,3.0,,,25990679.0
31,Thailand,4754784.0,34418.0,4692636.0,27730.0,,67850.0,491.0,17270775.0,246450.0,70078203.0
32,Canada,4695593.0,53086.0,4636454.0,6053.0,99.0,122318.0,1383.0,66343123.0,1728207.0,38388419.0
33,Czechia,4643014.0,42812.0,4600030.0,172.0,1.0,432440.0,3987.0,57242285.0,5331418.0,10736784.0
34,Peru,4515610.0,221261.0,4294349.0,0.0,26.0,134057.0,6569.0,38753114.0,1150483.0,33684208.0
35,Switzerland,4407568.0,14452.0,4392537.0,579.0,39.0,502365.0,1647.0,23833472.0,2716487.0,8773637.0
36,Philippines,4172577.0,66571.0,4101298.0,4708.0,162.0,37087.0,592.0,35609062.0,316500.0,112508994.0
